Pais,Nota gastronomica,Ranking Gastronomico
Mexico,4.52,3
Indonesia,4.48,7
China,4.45,10
Peru,4.4,14
Brasil,4.39,16
Colombia,4.34,18
Vietnam,4.34,19
Argentina,4.28,25
Tailandia,4.26,28
Chile,4.24,32
Filipinas,4.21,36
Malasia,4.2,37
Australia,4.09,53
Nueva Zelanda,3.96,82
Bolivia,3.88,97
Laos,3.88,99
